PH,Soil_moisture,Soil_type,Temperature,Fertilizer
6.07,50,Loamy,23,10
7,42,Sandy Loamy,17,12-4-18
5.71,67,Sandy Loamy,18,10
6.29,18,Dry,17,9-3-13
6.28,23,Loamy,25,10-10-10
6.99,30,Sandy Loamy,12,10
5.84,73,Dry,18,4-12
6.51,21,Sandy Loamy,10,4-12
6.58,5,Loamy,10,12-4-18
6.36,39,Loamy,16,12-4-18
6.38,50,Sandy Loamy,13,5-10-10
5.92,59,Loamy,23,5-10-10
6.66,3,Sandy Loamy,11,10
6.26,9,Sandy Loamy,16,12-12-12
6.64,51,Sandy Loamy,18,4-12
6.86,65,Sandy Loamy,12,9-3-13
5.66,11,Dry,25,4-12
5.57,66,Sandy Loamy,13,9-3-13
6,56,Sandy Loamy,16,10
6.06,72,Sandy Loamy,12,12-12-12
5.99,67,Dry,24,4-12
6.9,41,Dry,13,12-12-12
6.06,43,Dry,14,9-3-13
6.5,51,Sandy Loamy,23,4-12
6.68,31,Dry,24,4-12
6.87,56,Sandy Loamy,10,10-10-10
5.56,15,Loamy,12,10
6.12,21,Sandy Loamy,19,9-3-13
5.82,40,Sandy Loamy,17,12-4-18
6.21,42,Sandy Loamy,15,4-12
5.9,22,Sandy Loamy,20,10-10-10
5.99,66,Sandy Loamy,13,10-10-10
5.94,61,Loamy,17,4-12
6.19,39,Dry,10,12-4-18
6.75,51,Dry,17,10-10-10
5.64,2,Dry,13,4-12
6.4,71,Loamy,13,4-12
6.45,75,Sandy Loamy,13,10
6.02,70,Dry,10,10-10-10
6.37,20,Sandy Loamy,15,9-3-13
6.94,75,Dry,19,10-10-10
6.11,52,Dry,16,10-10-10
6.19,59,Sandy Loamy,20,10-10-10
5.79,60,Loamy,18,10-10-10
6.32,69,Dry,10,12-12-12
6.23,61,Loamy,24,12-4-18
6.23,51,Dry,23,9-3-13
5.7,45,Sandy Loamy,24,10-10-10
6.24,65,Dry,16,4-12
6.71,52,Loamy,20,12-4-18
6.14,37,Loamy,19,10
5.89,25,Loamy,19,10-10-10
6.96,48,Dry,11,10
6.82,60,Loamy,16,12-4-18
5.82,56,Dry,14,4-12
6.97,31,Sandy Loamy,13,12-4-18
5.73,32,Dry,19,4-12
5.81,43,Sandy Loamy,18,9-3-13
5.96,14,Loamy,25,10-10-10
5.84,72,Dry,25,5-10-10
6.08,45,Dry,25,12-12-12
5.82,68,Dry,12,10-10-10
6.04,7,Loamy,24,10-10-10
5.52,58,Loamy,17,4-12
5.93,41,Dry,24,5-10-10
6.65,28,Sandy Loamy,23,9-3-13
6.99,75,Dry,10,5-10-10
6.89,35,Sandy Loamy,15,12-4-18
6.67,60,Sandy Loamy,14,12-12-12
6.6,14,Dry,16,12-4-18
5.96,8,Loamy,25,5-10-10
6.29,43,Sandy Loamy,18,12-12-12
5.92,18,Loamy,23,9-3-13
6.73,22,Sandy Loamy,10,9-3-13
6.77,62,Loamy,14,12-12-12
6.03,71,Dry,13,10
5.68,57,Sandy Loamy,11,10-10-10
6.05,9,Sandy Loamy,13,12-12-12
5.62,55,Loamy,16,10-10-10
6.48,26,Sandy Loamy,21,4-12
6.73,27,Loamy,14,10-10-10
5.88,17,Dry,12,4-12
6.22,43,Sandy Loamy,16,12-4-18
6.54,75,Loamy,22,4-12
6.84,7,Sandy Loamy,12,10-10-10
6.06,68,Loamy,15,10-10-10
6.15,22,Dry,17,10-10-10
6.05,19,Loamy,24,12-4-18
6.63,6,Dry,25,10
6.43,60,Loamy,21,5-10-10
6.01,31,Loamy,18,5-10-10
5.93,43,Loamy,20,5-10-10
6.56,59,Loamy,23,4-12
6.22,67,Dry,23,12-4-18
6.31,21,Dry,12,12-4-18
6.21,17,Loamy,14,12-12-12
5.51,56,Loamy,21,9-3-13
6.77,58,Loamy,21,5-10-10
6.14,25,Sandy Loamy,11,4-12
6.84,72,Loamy,24,10-10-10
